23278,30,7.5,7.5,1
22728,13,8.0,8.0,1
30482,48,8.0,8.0,1
13226,16,8.0,8.0,1
8784,16,8.0,8.0,1
17951,13,8.0,8.0,1
9503,6,7.5,7.5,1
9325,26,8.0,8.0,1
10257,0,8.0,8.0,1
24451,5,7.5,7.5,1
12530,1,8.0,8.0,1
59409,453,7.5,7.5,1
21763,34,8.0,8.0,1
9471,24,8.0,8.0,1
79284,53,8.0,8.0,1
36182,7,7.5,7.5,1
32204,23,7.5,7.5,1
52686,60,7.5,7.5,1
26699,10,7.5,7.5,1
33736,12,7.5,7.5,1
31069,5,7.0,7.0,2
34263,2,7.0,7.0,2
31476,26,8.0,8.0,2
32556,422,8.5,8.5,2
43445,599,8.5,8.5,2
49099,112,7.5,7.5,2
60023,246,7.5,7.5,2
50358,823,8.5,8.5,2
57500,314,8.5,8.5,2
37790,18,8.5,8.5,2
34112,519,8.5,8.5,2
38481,242,9.0,9.0,2
86053,242,7.5,7.5,2
78142,458,8.0,8.0,2
80159,57,7.5,7.5,2
30825,34,7.5,7.5,2
45204,3,6.5,6.5,2
66897,27,7.5,7.5,2
66056,35,6.5,6.5,2
65376,11,5.5,5.5,2
45094,0,5.5,5.5,2
40535,331,8.5,8.5,2
58762,2,7.0,7.0,2
57874,33,7.5,7.5,2
60883,3,5.5,5.5,2
37606,9,7.5,7.5,2
50456,3,7.0,7.0,2
51992,3,5.5,5.5,2
36941,10,7.5,7.5,2
21636,6,7.5,7.5,2
33620,2,6.0,6.0,2
42475,6,7.5,7.5,2
40362,1,7.5,7.5,2
42738,0,7.0,7.0,2
39983,6,7.0,7.0,2
44638,2,7.0,7.0,2
46959,4,6.0,6.0,2
44869,0,5.5,5.5,2
48467,196,7.5,7.5,2
70288,27,7.5,7.5,2
56069,0,6.0,6.0,2
56893,328,8.0,8.0,2
62066,0,5.5,5.5,2
24417,3,7.0,7.0,3
44552,20,7.5,7.5,3
109793,6,7.0,7.0,3
64458,128,7.0,7.0,3
88510,13,7.5,7.5,3
62010,20,7.0,7.0,3
77509,68,7.5,7.5,3
59851,17,7.5,7.5,3
123771,31,7.0,7.0,3
54846,4,7.5,7.5,3
166033,6,7.0,7.0,3
44204,2,7.5,7.5,3
40952,13,7.5,7.5,3
16555,6,7.5,7.5,3
20051,15,7.5,7.5,3
26375,15,7.5,7.5,3
17314,22,7.5,7.5,3
18694,12,7.5,7.5,3
24214,3,7.0,7.0,3
33399,28,7.5,7.5,3
15594,113,7.5,7.5,3
8318,21,7.5,7.5,3
22676,30,7.5,7.5,3
14909,122,7.5,7.5,3
29088,35,7.5,7.5,3
11340,5,7.5,7.5,3
27318,11,7.5,7.5,3
19225,14,7.0,7.0,3
46349,0,5.5,5.5,4
25729,0,5.5,5.5,4
21457,0,4.5,4.5,4
48833,0,5.0,5.0,4
42261,0,5.0,5.0,4
28237,0,5.0,5.0,4
51820,0,5.0,5.0,4
37333,0,5.0,5.0,4
62483,0,5.0,5.0,4
110656,1,5.5,5.5,4
54627,0,5.5,5.5,4
68212,1,5.0,5.0,4
19636,0,5.0,5.0,4
15446,0,5.5,5.5,4
48565,0,5.0,5.0,4
37359,0,5.0,5.0,4
22817,0,5.0,5.0,4
56189,0,5.0,5.0,4
52828,0,5.0,5.0,4
24487,0,5.0,5.0,4
91943,0,5.5,5.5,4
49169,0,5.5,5.5,4
51801,1,5.0,5.0,4
35109,0,5.5,5.5,4
62804,0,5.0,5.0,4
26151,0,5.0,5.0,4
50200,0,5.0,5.0,4
40344,0,5.0,5.0,4
46550,0,5.5,5.5,4
61776,0,5.0,5.0,4
47985,1,5.5,5.5,4
40426,0,5.5,5.5,4
30038,0,5.0,5.0,4
39834,2,5.0,5.0,4
31986,2,5.0,5.0,4
23974,0,5.5,5.5,4
91033,0,6.0,6.0,4
224324,0,6.0,6.0,4
114475,0,6.0,6.0,4
103976,0,6.5,6.5,4
64963,0,6.5,6.5,4
109111,0,5.5,5.5,4
82222,0,5.5,5.5,4
46620,0,5.5,5.5,4
73010,0,6.0,6.0,4
104212,0,5.5,5.5,4
151011,0,6.0,6.0,4
73026,0,6.0,6.0,4
113334,0,6.5,6.5,4
75776,0,5.5,5.5,4
109739,0,6.5,6.5,4
65714,0,6.0,6.0,4
89544,0,6.0,6.0,4
151555,0,6.0,6.0,4
134410,0,6.0,6.0,4
120375,0,6.0,6.0,4
47865,0,5.5,5.5,4
101116,0,6.0,6.0,4
69566,0,6.5,6.5,4
138843,3,6.0,6.0,4
119570,0,5.5,5.5,4
79958,0,6.0,6.0,4
47700,0,6.0,6.0,4
166460,0,6.0,6.0,4
77557,0,6.5,6.5,4
104388,0,6.0,6.0,4
